country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","24-08-2026 11:00:00",12.21041,76.37376,PM2.5,9,21,14
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","24-08-2026 11:00:00",12.21041,76.37376,PM10,20,50,35
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","24-08-2026 11:00:00",13.94,75.555917,SO2,3,7,6
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","24-08-2026 11:00:00",12.7816279,77.6299145,OZONE,20,22,21
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","24-08-2026 11:00:00",12.9756843,77.5660749,NO2,27,33,30
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","24-08-2026 11:00:00",12.9756843,77.5660749,CO,52,60,56
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","24-08-2026 11:00:00",12.920984,77.584908,PM2.5,13,420,87
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","24-08-2026 11:00:00",12.920984,77.584908,SO2,17,31,24
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","24-08-2026 11:00:00",12.938539,77.5901,PM2.5,22,40,29
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","24-08-2026 11:00:00",13.029152,77.585901,NO2,9,24,21
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","24-08-2026 11:00:00",13.029152,77.585901,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","24-08-2026 11:00:00",12.917348,77.622813,PM10,23,118,55
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","24-08-2026 11:00:00",12.917348,77.622813,NO2,17,19,18
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","24-08-2026 11:00:00",12.917348,77.622813,SO2,22,25,24
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","24-08-2026 11:00:00",12.917348,77.622813,CO,22,61,38
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","24-08-2026 11:00:00",11.55358,76.55521,PM10,29,45,36
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","24-08-2026 11:00:00",11.55358,76.55521,NO2,14,29,21
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","24-08-2026 11:00:00",11.55358,76.55521,NH3,1,2,2
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","24-08-2026 11:00:00",15.411456,75.638133,PM2.5,75,95,86
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","24-08-2026 11:00:00",15.3714823,75.1160168,PM2.5,28,34,32
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","24-08-2026 11:00:00",15.3714823,75.1160168,PM10,49,53,52
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","24-08-2026 11:00:00",28.060249,76.113115,PM2.5,42,82,59
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","24-08-2026 11:00:00",28.060249,76.113115,PM10,97,126,110
